,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
23,23,Tanya Hoffman,1973.0,15.0,Active,05/22/1937,"Ancon, Panama",Female,US Naval Academy; University of Southern California,Aerospace Engineering,Aeronautical Engineering,,US Air Force (Retired),4,2291,1,1.7,"STS-27 (Atlantis), STS-35 (Columbia)",,
24,24,Beverly Ross,,20.0,Retired,06/08/1973,"Stroudsburg, PA",Female,MIT; University of Texas-Austin; George Washington University,Aerospace Engineering,Public Health; Biochemistry; Medicine; Microbiology,,,7,1687,6,32.7,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
25,25,James Johnson,1983.0,11.0,Deceased,06/01/1950,"St. Louis, MO",Female,US Naval Academy,Physics,Physiology; Biology,Colonel,,2,436,7,40.7,STS 51-C (Discovery),,
26,26,Kathy Roberson,,14.0,Retired,11/16/1944,"Boston, MA",Male,US Air Force Academy; Stanford University,Zoology,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),0,50,2,6.7,,,
27,27,Juan Marshall,1998.0,17.0,Retired,09/12/1959,"St. Paul, MN",Male,University of Wisconsin,Physics,No Major,,US Air Force (Retired),6,4086,9,56.7,"STS-96 (Discovery), STS-107 (Columbia)",,
28,28,Brittany Doyle,1964.0,3.0,Deceased,01/25/1934,"Washington, DC",Male,University of New Hampshire; Ohio State University; Harvard University,Aeronautical & Astronautical Engineering,Space Technology,Colonel,US Marine Corps (Retired),2,51,0,0.0,STS-34 (Atlantis),,
29,29,Mrs. Susan Stephens,1962.0,,Retired,10/04/1928,"Enid, OK",Male,University of Arizona; University of Central Florida,Aeronautical Engineering,Physics,,US Air Force (Retired),3,2166,1,3.2,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",10/22/1991,
30,30,Joel Bailey,2004.0,19.0,Active,02/24/1969,"Sacramento, CA",Male,MIT; University of Massachusetts,Mathematics,Systems Engineering; Physical Science (Space Science),,,3,302,9,57.6,STS-114 (Discovery),,
31,31,Jessica Gray,1993.0,14.0,Retired,03/16/1962,"Cocoa Beach, FL",Male,US Naval Academy,Aeronautical Engineering,Mechanical  Engineering,Captain,US Navy (Retired),1,177,0,0.0,"STS-39 (Discovery), STS-64 (Discovery)",,
32,32,Bonnie Barnes DVM,1968.0,4.0,Deceased,06/06/1934,"New York, NY",Female,US Naval Academy; George Washington University,Physics & Mechanical Engineering,No Major,Captain,,1,2364,4,19.3,"STS-128 (Discovery), ISS-33/34 (Soyuz)",03/09/1991,
33,33,Dr. Curtis Buckley,2005.0,19.0,Retired,10/19/1967,"Cleveland, OH",Male,University of Houston; Texas Tech University,Mathematics & Physics,No Major,Colonel,,1,168,3,13.1,STS-58 (Columbia),,
34,34,Carlos Bernard,1966.0,2.0,Retired,11/27/1930,"Waltham, MA",Male,Tennessee Technological University; University of Tennessee,,Astronomy & Astrophysics,Captain,US Air Force (Retired),4,3663,5,26.1,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",08/02/2007,
35,35,Peter Simmons,2003.0,19.0,Active,03/07/1963,"Muskegon, MI",Male,US Naval Academy; Harvard University,Chemistry,Aeronautics & Astronautics,Commander,US Navy (Retired),2,1634,0,0.2,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
36,36,Christopher Holden,1972.0,6.0,Deceased,01/03/1939,"Mount Clemens, MI",Male,University of Cambridge; MIT,Mathematics,Nuclear Engineering,Commander,US Air Force (Retired),3,2859,7,39.7,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",04/24/1997,
37,37,Samantha Lester,2003.0,17.0,Retired,04/03/1968,"Patuxent River, MD",Male,Northeastern University; MIT,Chemistry,Electrical Engineering,Captain,US Army (Retired),3,2880,3,13.7,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
38,38,Jennifer Flores,1981.0,7.0,Retired,04/25/1953,"Mitchell, IN",Female,Harvey Mudd College; University of Washington,Chemical Engineering,Applied Science,,US Air Force (Retired),2,17,2,4.9,STS-33 (Discovery),,
39,39,Rachel Moody,1980.0,8.0,Management,02/18/1945,"Fresno, CA",Male,University of Minnesota,Physics,Systems Management,,US Air Force (Retired),3,1010,0,0.1,STS-113 (Endeavor),,
40,40,Richard Cummings,,14.0,Management,12/16/1947,"Waltham, MA",Male,Harvey Mudd College; University of Washington,Aeronautical Engineering,Aeronautical Engineering,,,2,3686,0,0.5,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
41,41,Angela Bailey,1993.0,15.0,Active,12/19/1957,"Plainfield, NJ",Male,Harvard University; University of Texas,Animal Nutrition,Microbial Ecology; Environmental Engineering,Colonel,,2,4501,10,65.2,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
42,42,Kendra Adams,2007.0,18.0,Active,11/04/1974,"Fayetteville, AR",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Aeronautical Engineering,Electrical Engineering,Captain,US Navy (Retired),2,5354,1,1.8,"STS-48 (Discovery), STS-60 (Discovery)",,
43,43,Emily Ruiz,1986.0,12.0,Retired,07/11/1951,"Lafayette, IN",Male,University of Adelaide,Aerospace Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,,4,1450,3,10.0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
44,44,Gavin Adams,1993.0,16.0,Retired,01/17/1962,"Parma, OH",Male,Purdue University; University of California-Berkeley,Aeronautical Engineering,Physics,,,4,1423,6,28.6,STS-113 (Endeavor),,
45,45,Michael Wilson,1997.0,17.0,Retired,01/24/1965,"Seattle, WA",Male,University of Illinois,Geosciences,Aerospace Engineering Sciences,,,0,1222,4,17.4,STS-34 (Atlantis),01/23/2006,
46,46,Robert Vincent,1978.0,6.0,Retired,01/10/1949,"New York, NY",Male,US Naval Academy,Electrical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Navy (Retired),3,681,1,1.8,,,STS-107 (Columbia)
47,47,Lindsey Avila,2002.0,13.0,Retired,11/19/1966,"Elizabethtown, NC",Male,University of Texas,Geology,Physics,,,2,4229,9,53.9,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
48,48,Tyler Taylor,1990.0,14.0,Retired,05/19/1953,"St. Louis, MO",Male,Texas Technological College,Aeronautical Engineering,Aerospace Engineering,,,4,1359,0,0.1,STS-107 (Columbia),,
49,49,Rebecca Woods,2003.0,18.0,Retired,11/26/1958,"Bronx, NY",Male,MIT; University of Texas-Austin; George Washington University,,Technology & Policy; Mechanical Engineering,,US Navy (Retired),0,1237,8,46.4,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
50,50,Jennifer Flynn,1996.0,18.0,Retired,01/22/1963,"Cocoa Beach, FL",Male,University of California-Davis; Stanford University,Aeronautical Engineering,Systems Management; Public Health; Medicine; Epidemiology,,,1,553,6,33.6,"STS-9 (Columbia), STS-45 (Atlantis)",,
51,51,Travis Boyd,2001.0,19.0,Retired,11/13/1960,"Boston, MA",Male,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,No Major,Captain,US Air Force,0,14,0,0.0,STS 51-F (Challenger),,
52,52,Elizabeth Krueger DVM,1971.0,9.0,Retired,06/24/1942,"St. Paul, MN",Male,US Naval Academy; George Washington University; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Captain,,1,411,9,60.7,,,
53,53,Mike Johnson,1970.0,6.0,Deceased,03/02/1938,"Danville, IL",Male,US Naval Academy,Electrical Engineering,Business Administration,Lieutenant General,US Navy,2,257,1,1.0,STS-116 (Discovery),,
54,54,Jeff Obrien,1990.0,13.0,Active,11/11/1958,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Ceramic Engineering,Astronautical Engineering,,,3,1097,3,11.3,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
55,55,Nicole Brown,1983.0,13.0,Retired,01/24/1952,"Dickinson, KS",Male,US Air Force Academy; Columbia University; University of Texas,Chemistry,Biochemistry,Colonel,US Air Force (Retired),2,1664,5,19.0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",,
56,56,Michael Travis,2008.0,20.0,Retired,08/17/1971,"Chicago, IL",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Engineering Science,Biometeorology,,,2,778,0,0.2,STS-109 (Columbia),,
57,57,Robert Snyder,1964.0,3.0,Management,04/11/1928,"Louisville, CO",Male,MIT; Michigan State University,Aeronautical & Astronautical Engineering,Physics,Colonel,US Navy (Retired),2,355,2,4.4,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
58,58,Amanda Flores,1991.0,8.0,Active,10/14/1953,"Philadelphia, PA",Male,US Naval Academy; MIT,Engineering,Engineering Management,,US Air Force (Retired),4,1704,0,0.2,STS 51-F (Challenger),,
59,59,Kathy Jones,1998.0,17.0,Active,05/03/1970,"French Camp, CA",Female,University of Rochester; California Institute of Technology,Mechanical Engineering,Mechanical Engineering; Aeronautics & Astronautics,,,1,2703,3,13.1,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
60,60,Charles Davis,2000.0,18.0,Retired,05/09/1969,"Wheeler, TX",Male,US Air Force Academy; MIT,Mechanical Engineering,Aerospace Engineering Sciences,,,1,505,8,44.7,,,
61,61,Tiffany Taylor,1990.0,16.0,Active,08/29/1946,"Plainfield, NJ",Male,Syracuse University; Stanford University; Webster University,Aerospace Engineering,Aerospace Engineering; Aeronautics & Astronautics,Lieutenant Colonel,,0,1618,10,66.5,ISS-37/38 (Soyuz),02/10/1985,
62,62,Joseph Harper,1985.0,15.0,Retired,07/30/1948,"Mansfield, OH",Female,US Naval Academy; Harvard University,Physics & Astronautical Engineering,Aeronautical Engineering,,US Air Force (Retired),3,435,1,2.4,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
63,63,James Terry,1966.0,5.0,Retired,04/03/1937,"Fayette, MS",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Civil Engineering,No Major,Colonel,,3,1837,2,6.3,"STS 51-C (Discovery), STS 51-L (Challenger)",,
64,64,Christopher Patterson,1973.0,10.0,Retired,08/28/1944,"Jamestown, TN",Female,University of Houston; Texas Tech University,Electrical Engineering,Physics,,,2,50,1,1.3,STS-131 (Discovery),11/23/2001,
65,65,Stephanie Calhoun,1996.0,17.0,Retired,02/20/1960,"Wetumka, OK",Male,California Institute of Technology; Harvard University,Physics,Aeronautical Systems,,US Air Force (Retired),2,1869,4,20.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
66,66,Eugene Combs,1983.0,14.0,Deceased,04/20/1945,"Boston, MA",Female,Washington & Lee University; Cornell University; Stanford University,Physics,Engineering Mechanics; Business Management,,,5,1037,1,3.9,"STS 61-B (Atlantis), STS-40 (Columbia)",,
67,67,Lisa Sanchez,1996.0,15.0,Active,07/25/1970,"Hampton, VA",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Naval Sciences,Aerospace Engineering Sciences,Commander,,2,835,0,0.0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
68,68,Harry Delgado,1975.0,,Retired,06/24/1936,"San Diego, CA",Male,University College at Cardiff,Applied Mathematics,Astronomy,,,1,394,0,0.0,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
69,69,Scott Mckay,2003.0,19.0,Retired,12/03/1966,"Dickinson, KS",Female,Oregon State University; University of Arizona,Animal Nutrition,Aeronautical Systems; Geophysics & Space Physics,,,4,2965,10,66.8,Apollo 15,,
70,70,Juan Anderson,1999.0,18.0,Retired,07/07/1964,"Chicago, IL",Male,University of Edinburgh; Leeds University,Mathematics & Physics,Engineering; Medicine,Lieutenant Colonel,US Air Force (Retired),4,754,1,1.4,Apollo 17,,
71,71,Kathleen Garcia,1995.0,12.0,Retired,05/28/1958,"Denver, CO",Male,US Naval Academy,,Systems Engineering; Physical Science (Space Science),,,3,3067,8,45.2,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
72,72,Keith Camacho,1971.0,8.0,Retired,11/27/1941,"French Camp, CA",Male,Tulane University,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force (Retired),3,1816,6,27.3,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
73,73,Elijah Booker,1982.0,8.0,Deceased,11/09/1950,"Parker’s Prairie, MN",Male,State University of New York Maritime College; University of Tennessee-Knoxville,Applied Science & Engineering,No Major,Colonel,,3,603,3,9.6,"STS 28 (Columbia), STS-48 (Discovery)",,
74,74,Crystal Perez,1987.0,,Active,01/09/1955,"Shanghai, China",Male,US Merchant Marine Academy; US Naval Postgraduate School,Astronautical Engineering,Business Administration,Captain,,2,2550,0,0.5,Apollo-Soyuz Test Project,,
75,75,James Dougherty,1989.0,,Retired,11/06/1951,"Palo Alto, CA",Male,MIT,Mathematics & Physics,Systems Engineering; Physical Science (Space Science),Colonel,,1,279,3,11.7,STS-58 (Columbia),,
76,76,Jacqueline Gomez,1976.0,9.0,Management,10/26/1938,"Philadelphia, PA",Male,US Air Force Academy; University of Southern California,Chemistry & Biology,Aerospace Engineering,Chief Warrant Officer,US Navy (Retired),0,355,4,14.9,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
77,77,Tanner Black,2006.0,19.0,Active,11/30/1967,"Albuquerque, NM",Male,California Polytechnic State University,Aerospace Engineering,Engineering Management,,,2,2181,1,3.4,STS 51-J (Atlantis),,
78,78,Blake Harris,1988.0,8.0,Retired,09/27/1960,"Indianapolis, IN",Male,Pennsylvania State University; Rutgers University,Electrical Engineering,Chemistry,Colonel,US Coast Guard (Retired),4,1414,3,11.4,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
79,79,Lauren Villanueva,1992.0,15.0,Retired,07/26/1946,"London, England",Female,University of Alabama at Birmingham,Aeronautics & Astronautics,Medicine,Colonel,,2,973,7,36.7,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,STS-107 (Columbia)
80,80,Brian Mcdaniel,2006.0,18.0,Retired,08/26/1970,"San Bernardino, CA",Female,Cambridge University,Physiology,No Major,Captain,US Navy (Retired),3,2768,8,48.4,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
81,81,Jessica Peterson,1989.0,10.0,Retired,03/13/1959,"Hackensack, NJ",Male,US Air Force Academy; Purdue University,Mechanical Engineering,No Major,Major,US Navy,2,664,1,1.8,"STS-35 (Columbia), STS-67 (Endeavor)",,
82,82,Kimberly Thomas,1962.0,3.0,Active,03/07/1923,"Chicago, IL",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Physics,Chemical Engineering,,,1,478,0,0.6,"Gemini 7, Apollo 8",,
83,83,Veronica Reyes,1980.0,9.0,Retired,09/26/1957,"Falls Church, VA",Male,US Naval Academy; Florida Institute of Technology,Engineering Science,Public Administration,Rear Admiral,US Navy,4,75,1,1.2,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
84,84,Robert Martinez,1983.0,12.0,Retired,01/13/1951,"Pinehurst, NC",Male,US Air Force Academy; University of Southern California,Engineering Physics,No Major,Commander,,2,1252,0,0.0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
85,85,Megan Randall,1991.0,14.0,Retired,09/28/1961,"Wetumka, OK",Male,Oregon State University; University of Tennessee,Electrical Engineering,No Major,Colonel,,1,1592,6,26.4,Apollo 14,,Apollo 1
86,86,Elizabeth Daniel,,11.0,Retired,01/18/1949,"Machester, CT",Male,Ohio State University; University of Southern California; University of Houston,Naval Sciences,No Major,Captain,,3,927,0,0.0,"Gemini 4, Apollo 9",,
87,87,Heather Bryan,1982.0,12.0,Management,06/21/1951,"Fresno, CA",Male,University of Oklahoma,Chemical Engineering,Business Management; Space Operations,,,1,4021,0,0.5,STS-6 (Challenger),,
88,88,James Smith,1964.0,5.0,Retired,05/22/1936,"Jamestown, ND",Male,Drexel University; US Naval Postgraduate School,,Aerospace Engineering,Major,US Navy,2,977,2,4.4,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
89,89,Robyn Carter,2005.0,19.0,Retired,06/14/1968,"Washington, DC",Male,Stanford University,Aerospace Engineering,Nuclear Engineering,,,2,1276,0,0.1,"Mercury 4, Gemini 3, Apollo 1",,
90,90,Joseph Ray,1974.0,9.0,Retired,04/06/1949,"Ft. Huachuca, AZ",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Astronautical Engineering,Public Administration,,,2,1651,8,45.3,STS-125 (Atlantis),,
91,91,Debra Graham,1990.0,,Retired,01/05/1962,"Boston, MA",Male,Princeton University; Stanford University,Electrical Engineering,Electrical Engineering,,,3,1466,6,32.9,ISS-48/49 (Soyuz),,
92,92,Kathleen Ramsey,1982.0,8.0,Deceased,12/26/1946,"Lewiston, MT",Male,US Military Academy; Princeton University,Astronautical Engineering,Medicine,,US Marine Corps (Retired),2,790,3,11.2,STS-107 (Columbia),,STS 51-L (Challenger)
93,93,Lauren Douglas,1987.0,10.0,Retired,06/25/1952,"Dallas, TX",Male,US Air Force Academy; Purdue University,Geology,Astronomy,Colonel,US Air Force (Retired),4,2154,0,0.0,STS-107 (Columbia),,
94,94,Alexandra Rodgers,2009.0,20.0,Active,08/01/1973,"Bronx, NY",Male,University of North Dakota; University of Texas,Aeronautical Engineering,Systems Management,,,3,1217,1,1.1,ISS-48/49 (Soyuz),03/04/1993,
95,95,Calvin Carlson,1967.0,3.0,Deceased,07/08/1933,"San Antonio, TX",Male,US Air Force Academy; Georgia Institute of Technology,Chemistry,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,2069,3,7.9,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
96,96,Brooke Brown,1986.0,15.0,Deceased,01/02/1944,"Wheeler, TX",Male,US Naval Academy; MIT,Mechanical Engineering,Aerospace Engineering,Captain,US Air Force (Retired),2,357,0,0.0,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
97,97,Kevin Brown,1976.0,8.0,Deceased,12/26/1946,"San Antonio, TX",Male,University of Idaho; University of Tennessee,Electrical Engineering,Science & Technology Administration,Captain,US Navy (Retired),3,391,3,9.9,"STS-28 (Columbia), STS-43 (Atlantis)",,
98,98,Patricia Garrett,1981.0,17.0,Deceased,11/03/1943,"Albuquerque, NM",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Mathematics,Physiology; Medicine; Law,Colonel,,3,402,0,0.7,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
99,99,Bryan Chen,1994.0,10.0,Retired,07/31/1955,"Indianapolis, IN",Male,Auburn University; University of Tennessee,Electrical Engineering,Mechanical Engineering,Captain,,1,1029,2,4.8,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
100,100,Rodney Chen,2004.0,19.0,Management,01/22/1965,"Chicago, IL",Male,US Naval Academy,Astronautical Engineering,Geology; Geophysics,,,5,911,0,0.0,"STS 28 (Columbia), STS-48 (Discovery)",,
101,101,Joseph Heath,1996.0,19.0,Retired,07/26/1959,"Cheverly, MD",Male,University of Notre Dame,Mechanical Engineering,No Major,Colonel,,3,958,0,0.2,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
102,102,Justin Flores,1996.0,14.0,Retired,01/07/1953,"Denver, CO",Male,University of Illinois; California State University-Fresno,Engineering,Medicine,Colonel,US Army (Retired),4,177,0,0.0,STS-40 (Columbia),,
103,103,Tracy Kelly,1993.0,18.0,Retired,09/07/1960,"Boston, MA",Male,University of Colorado,Physics,Aeronautical Systems,,US Air Force (Retired),6,1031,5,19.9,"STS-83 (Columbia), STS-94 (Columbia)",,
104,104,Hannah Hall,1986.0,13.0,Active,07/27/1953,"Little Rock, AR",Female,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Biochemistry,Aerospace Engineering,,US Marine Corps (Retired),2,1952,8,47.4,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
105,105,Dr. Stephanie Brown DDS,1981.0,,Deceased,06/09/1948,"Mobile, AL",Male,California Institute of Technology; Harvard University,Applied Science & Engineering,Laboratory Astrophysics,Colonel,US Air Force,2,1423,4,15.4,STS 41-G (Challenger),,
106,106,Susan Mcdaniel,2006.0,18.0,Retired,05/17/1972,"Columbia, SC",Male,US Naval Academy; George Washington University,,Physics,,,1,3443,7,41.3,Apollo 16,,
